Hylak_ID,Bloom Occurrence 1980s,Bloom Occurrence 2010s
10,0.347,0.034
10035,0.069,0.02
10042,0.071,0.048
10055,0.115,0.131
10060,0.117,0.086
10076,0.071,0.149
100840,0.127,0.127
10093,0.073,0.093
10103,0.122,0.12
10118,0.18,0.591
10119,0.077,0.124
10127,0.152,0.147
10131,0.153,0.06
10152,0.091,0.155
10161,0.099,0.118
10162,0.098,0.307
10174,0.189,0.037
10176,0.218,0.391
101850,0.107,0.157
10190,0.235,0.001
10202,0.112,0.002
10208,0.091,0.022
10209,0.138,0.188
10217,0.259,0.021
1021894,0.095,0.085
10219,0.089,0.016
1022,0.489,0.196
10225,0.246,0.004
102320,0.082,0.136
102328,0.079,0.188
102369,0.161,0.234
10239,0.118,0.002
102658,0.107,0.005
10267,0.161,0.458
102820,0.18,0.218
10295,0.088,0.035
103066,0.321,0.471
10307,0.102,0.204
10311,0.179,0.267
10320,0.288,0.254
103226,0.078,0.099
103233,0.108,0.177
103236,0.086,0.172
10326,0.176,0.277
10329,0.131,0.231
10333,0.118,0.038
10345,0.07,0.148
1034540,0.131,0.103
10350,0.263,0.136
10351,0.083,0.246
10352,0.075,0.265
10353,0.275,0.475
103653,0.094,0.415
10367,0.152,0.422
10375,0.15,0.251
10378,0.078,0.034
10380,0.097,0.114
10381,0.082,0.03
10386,0.07,0.216
10405,0.067,0.048
10406,0.076,0.031
104077,0.088,0.175
10408,0.165,0.073
10409,0.09,0.052
104122,0.081,0.064
10414,0.207,0.084
10417,0.105,0.051
104331,0.079,0.049
104350,0.105,0.255
10436,0.092,0.086
104360,0.096,0.105
104433,0.124,0.155
10457,0.094,0.073
104764,0.145,0.366
10484,0.201,0.363
10493,0.162,0.003
104933,0.146,0.292
104943,0.247,0.228
10496,0.147,0.228
10497,0.304,0.663
105034,0.136,0.185
105057,0.079,0.127
105074,0.174,0.213
105134,0.07,0.291
10515,0.097,0.116
105183,0.179,0.338
10521,0.183,0.158
10524,0.124,0.039
105340,0.084,0.085
105343,0.138,0.054
10551,0.296,0.005
10555,0.152,0.057
1056,0.152,0.075
10566,0.161,0.027
105666,0.087,0.043
10571,0.108,0.022
105828,0.089,0.05
106315,0.138,0.164
106722,0.345,0.428
106762,0.203,0.221
106772,0.185,0.242
106783,0.126,0.391
1069759,0.331,0.723
107133,0.146,0.271
107286,0.201,0.258
107411,0.159,0.271
107420,0.176,0.215
1079960,0.074,0.063
108025,0.277,0.279
108109,0.204,0.165
108146,0.133,0.144
108338,0.101,0.355
1083856,0.095,0.02
108503,0.275,0.204
108704,0.101,0.128
108757,0.226,0.189
108828,0.128,0.118
1089,0.565,0.093
108911,0.127,0.076
108989,0.202,0.122
109017,0.082,0.121
109061,0.117,0.118
109171,0.08,0.296
109208,0.117,0.133
109216,0.173,0.319
109362,0.161,0.126
109443,0.089,0.075
109690,0.137,0.183
109781,0.162,0.271
110021,0.091,0.082
110045,0.212,0.274
110062,0.211,0.229
110217,0.145,0.152
1103291,0.068,0.089
1104,0.179,0.019
110434,0.213,0.179
1105,1.994,0.24
110505,0.129,0.12
1106,5.578,1.781
1106948,0.124,0.092
110843,0.162,0.253
110876,0.121,0.144
1109,0.207,0.004
110906,0.19,0.567
110919,0.212,0.208
110932,0.219,0.202
1110,0.792,0.082
111046,0.127,0.136
1111,0.933,0.673
111113,0.159,0.211
111147,0.186,0.245
111252,0.231,0.276
111258,0.16,0.211
111273,0.115,0.037
1113,0.176,0.015
111308,0.18,0.246
111326,0.088,0.049
111339,0.121,0.141
111368,0.095,0.077
111375,0.17,0.147
1114,0.384,0.156
111401,0.072,0.02
111553,0.255,0.426
111573,0.166,0.28
1116,1.211,1.143
111629,0.085,0.031
111635,0.132,0.115
111685,0.191,0.001
1117,0.417,0.204
111887,0.276,0.32
111913,0.199,0.285
111956,0.116,0.189
112,0.667,0.713
112006,0.241,0.333
112015,0.199,0.235
112026,0.155,0.066
112054,0.387,0.255
112082,0.306,0.358
11214,0.581,0.818
112140,0.083,0.111
112156,0.117,0.174
112184,0.202,0.153
112196,0.113,0.151
112223,0.154,0.15
112241,0.147,0.177
112406,0.084,0.115
112461,0.114,0.081
112488,0.179,0.174
1125,0.137,0.094
11252,0.243,0.444
112520,0.132,0.17
112584,0.072,0.134
112611,0.265,0.001
112619,0.198,0.186
112667,0.089,0.064
11269,0.125,0.241
112726,0.075,0.084
112768,0.388,0.7
112789,0.266,0.083
1128,0.236,0.012
112817,0.146,0.284
112822,0.118,0.195
11286,0.067,0
112869,0.243,0.124
112872,0.19,0.154
112888,0.105,0.055
112894,0.12,0.157
112901,0.116,0.058
112906,0.156,0.241
112907,0.144,0.288
113,6.378,9.418
113018,0.12,0.249
113023,0.137,0.191
113069,0.126,0.297
113091,0.117,0.156
113110,0.152,0.27
113148,0.142,0.184
113177,0.247,0.287
1132,0.095,0.066
113208,0.129,0.103
113214,0.17,0.104
113240,0.264,0.276
113249,0.162,0.158
113258,0.172,0.244
1133,0.081,0.035
113367,0.283,0.199
113429,0.191,0.211
113478,0.098,0.132
1135,0.285,0.09
113529,0.092,0.072
113549,0.37,0.224
113558,0.12,0.121
113564,0.132,0.141
113569,0.147,0.188
113585,0.086,0.115
113613,0.31,0.46
113642,0.194,0.267
113657,0.124,0.329
113697,0.204,0.22
1137,11.416,11.478
113705,0.094,0.075
113709,0.234,0.279
113788,0.208,0.307
113792,0.158,0.152
113799,0.174,0.209
1138,0.131,0.11
113804,0.084,0.002
113815,0.096,0.101
113816,0.162,0.161
113838,0.079,0.033
113843,0.269,0.012
113846,0.111,0.109
1139,6.455,5.306
113951,0.091,0.129
113952,0.091,0.084
113982,0.149,0.106
113990,0.156,0.096
1140,10.313,11.843
114025,0.105,0.068
114043,0.134,0.142
114066,0.132,0.069
1141,1.672,2.094
114110,0.2,0.345
114114,0.119,0.188
114115,0.141,0.1
114134,0.102,0.299
114247,0.136,0.07
114260,0.219,0.194
114294,0.083,0.012
114296,0.323,0.575
114323,0.177,0.256
11434,0.997,1.831
1144,12.92,20.043
114450,0.075,0.03
114532,0.461,0.861
114538,0.067,0.06
114566,0.33,0.176
114580,0.202,0.41
1146,7.446,13.596
114610,0.128,0.242
11465,0.147,0
114682,0.152,0.214
114683,0.142,0.201
114686,0.119,0.112
114691,0.096,0.098
114700,0.216,0.477
11474,0.122,0
114746,0.073,0.157
114756,0.119,0.152
114766,0.115,0.259
114876,0.187,0.237
114919,0.181,0.567
114940,0.177,0.139
114964,0.088,0.005
114980,0.129,0.13
114987,0.164,0.205
114989,0.092,0.087
114995,0.068,0.011
114996,0.249,0.055
115,0.206,0.299
1150,0.188,0.005
115103,0.195,0.163
115128,0.245,0.377
115134,0.086,0.481
1152,0.106,0.055
115272,0.238,0.515
115276,0.181,0.463
115282,0.186,0.258
11530,0.127,0.088
115343,0.269,0.288
115423,0.077,0.149
115426,0.092,0.042
115447,0.12,0.113
115464,0.089,0.208
115479,0.112,0.244
115483,0.147,0.095
115489,0.267,0.634
115497,0.174,0.086
1155,0.585,0.204
115533,0.08,0.102
115582,0.164,0.428
115585,0.227,0.249
115677,0.121,0.238
115694,0.083,0.133
115707,0.077,0.064
115895,0.105,0.158
115898,0.071,0.008
116003,0.201,0.194
116007,0.086,0.201
116137,0.077,0.117
116184,0.093,0.077
116223,0.08,0.07
116236,0.072,0.084
116304,0.1,0.159
116307,0.078,0.118
116332,0.082,0.064
116366,0.131,0.097
116399,0.101,0.057
116420,0.092,0.049
116442,0.07,0.157
116465,0.074,0.021
116496,0.107,0.287
116510,0.114,0.17
116530,0.079,0.062
116645,0.072,0.004
11666,1.067,0.323
116673,0.07,0.272
116886,0.076,0.039
117,11.05,16.278
117140,0.07,0.015
117637,0.079,0.048
117764,0.069,0.047
1177768,3.268,0.104
117779,0.083,0.045
117833,0.067,0.044
117841,0.095,0.12
117966,0.069,0.132
117969,0.066,0.035
117990,0.088,0.036
118029,0.184,0.11
118036,0.079,0.029
118122,0.087,0.023
118137,0.091,0.146
11814,0.509,0.147
118151,0.126,0.054
118196,0.084,0.095
118261,0.092,0.106
118263,0.073,0.016
11831,0.778,0
11835,9.243,2.752
118427,0.121,0.157
118448,0.078,0.063
118451,0.074,0.061
11852,1.759,0.216
118540,0.195,0.099
118612,0.07,0.044
118620,0.094,0.15
118646,0.072,0.011
118652,0.075,0.162
118677,0.113,0.123
118678,0.131,0.078
118797,0.082,0.16
118808,0.102,0.631
118831,0.166,0.26
1189101,1.53,1.302
118953,0.098,0.18
118960,0.067,0.172
118977,0.089,0.029
118984,0.084,0.104
119028,0.106,0.439
119120,0.19,0.082
119143,0.139,0.06
119167,0.088,0.008
119180,0.07,0.046
119189,0.167,0.086
119227,0.159,0.079
119273,0.071,0.037
119276,0.106,0.483
119370,0.144,0.062
119387,0.152,0.201
119440,0.173,0.089
119462,0.161,0.159
119524,0.082,0.043
119562,0.154,0.022
119589,0.11,0.002
119591,0.18,0.093
1196,4.239,2.7
119601,0.069,0.196
119602,0.134,0.101
119627,0.129,0.149
119636,0.239,0.085
119687,0.078,0.003
119707,0.102,0.058
119709,0.075,0.012
119732,0.067,0.087
1197634,0.561,0.969
119791,0.106,0.03
119794,0.348,0.001
1198,0.104,0.048
119816,0.155,0.039
11982,0.465,0.01
119828,0.173,0.076
119854,0.195,0.014
119864,0.122,0.017
119872,0.085,0.046
120013,0.07,0.047
12003,0.785,0.072
120045,0.21,0.021
120195,0.085,0.006
120238,0.097,0
120261,0.112,0.037
120279,0.073,0.094
1203116,0.794,2.021
120317,0.066,0.024
12033,2.973,0.515
1203540,0.459,2.089
1204,4.856,3.868
120427,0.076,0.114
120430,0.106,0.045
120442,0.074,0.047
120498,0.085,0.036
120526,0.103,0.075
120529,0.073,0.074
120536,0.071,0.081
120538,0.074,0.115
120551,0.082,0.067
120564,0.104,0.036
120577,0.098,0.073
120582,0.066,0.073
120583,0.103,0.109
120590,0.121,0.034
120610,0.093,0.055
120616,0.104,0.16
12062,1.924,0.214
120666,0.35,0.585
120690,0.377,0.103
12072,0.126,0.044
120762,0.131,0.059
120822,0.151,0.265
12084,0.187,0.002
120856,0.139,0.138
120861,0.342,0.283
12088,0.403,0.058
120910,0.158,0.046
12095,0.091,0
12099,0.717,0.511
1210,4.374,2.599
12102,0.131,0.012
121069,0.074,0.133
1211,0.081,0.172
121104,0.078,0.047
12111,0.216,0.022
121142,0.11,0.025
121173,0.135,0.344
121211,0.217,0.085
121226,0.121,0.113
12123,0.071,0.016
121249,0.084,0.213
121260,0.124,0.255
121279,0.105,0.107
1213,0.837,1.372
12130,0.69,0.102
121315,0.078,0.048
12139,0.218,0.032
121427,0.104,0.16
12144,0.157,0.007
121451,0.077,0.004
121453,0.075,0.087
1215,5.308,19.151
121526,0.205,0.28
121529,0.072,0.042
121547,0.158,0.017
121549,0.066,0.03
12156,2.316,0.617
121564,0.089,0.009
121571,0.275,0.094
12165,0.169,0.035
121689,0.129,0
1217,2.237,2.714
121752,0.223,0.008
12178,0.119,0.043
12179,0.257,0.001
121797,0.282,0.167
121811,0.097,0
12186,0.468,0.059
122,3.609,5.183
12202,2.477,0.08
12204,0.809,1.159
12205,0.201,0
122089,0.095,0.074
12209,5.141,5.284
12212,0.194,0.061
12216,0.168,0.025
12223,0.296,0.039
12225,2.468,1.635
122347,0.125,0.154
12238,0.494,0.012
12241,4.254,1.566
12243,1.95,0.257
12246,0.494,0.016
122485,0.173,0.108
122546,0.267,0.185
12263,1.301,0.057
122655,0.162,0.14
122667,0.195,0.055
12269,2.003,2.542
122732,0.142,0.058
122777,0.13,0.08
12280,0.497,0.334
122822,0.266,0.189
12286,0.106,0.049
122868,0.08,0.131
122947,0.066,0
12297,0.617,0.165
122976,0.126,0.09
123,1.711,1.495
123000,0.172,0.002
123002,0.189,0
123004,0.186,0
12301,0.49,0
123019,0.31,0.449
123020,0.347,0.036
123023,0.396,0.078
123027,0.103,0.095
12303,0.106,0.003
12304,1.392,0.165
12306,0.135,0.048
123186,0.383,0.352
12323,1.219,0.545
12328,0.352,0.121
12329,3.134,0.525
12332,0.935,0.154
12342,3.378,1.084
12345,0.161,0.084
12367,0.075,0.003
12373,0.771,0.013
12374,0.829,0.042
12379,0.65,0.027
12384,1.109,0.017
12390,0.084,0.067
12398,0.139,0.029
1240,9.279,18.027
12400,2.15,0.092
12412,0.195,0.025
12414,0.881,0
12424,0.667,0
1243,0.067,0.09
1244,13.17,14.568
12440,0.09,0.099
1245014,0.797,0.679
1247,2.727,4.408
12479,3.364,0.865
12486,0.193,0.036
1249,0.068,0.051
12490,1.37,0.423
12499,0.192,0.075
125,0.836,2.274
12501,7.096,0.767
12505,0.811,0.317
12506,0.836,0.947
1251,15.554,13.166
12512,1.079,0.054
12519,0.276,0.052
12520,0.116,0.119
12523,6.984,7.3
12528,0.867,0.199
12529,0.287,0.19
1253,0.568,1.051
12535,0.14,0.048
12536,4.845,5.229
12541,0.117,0.013
12545,6.22,4.48
1255,24.06,36.602
12557,0.097,0.035
1256,0.599,3.289
12567,3.622,2.937
1257007,2.433,1.937
12571,0.132,0.166
12581,0.218,0.219
1258744,4.204,5.603
1259,9.211,50.594
12590,0.095,0.059
